1;"SUP";"KAB";"SU";;3;5;;
1;"SUP";"KAB";"SU";;4;3;;
2;"9a";"SHB";"AL";"K11";2;1;;
2;"9a";"SHB";"AL";"K11";2;2;;
2;"9a";"SHB";"AL";"K11";3;1;;
2;"9a";"SHB";"AL";"K11";5;5;;
2;"9a";"SHB";"AL";"K11";5;6;;
3;"3a";"KAB";"AL";"K27";2;2;;
3;"3a";"KAB";"AL";"K27";3;1;;
3;"3a";"KAB";"AL";"K27";3;2;;
3;"3a";"KAB";"AL";"K27";5;4;;
4;"SUP";"MEI";"SU";;4;4;;
4;"SUP";"MEI";"SU";;5;1;;
5;"8a";"KAB";"AL";"K13";1;3;;
5;"8a";"KAB";"AL";"K13";1;4;;
5;"8a";"KAB";"AL";"K13";2;7;;
5;"8a";"KAB";"AL";"K13";2;8;;
5;"8a";"KAB";"AL";"K13";4;5;;
6;"2a";"MEI";"AL";"K28";1;3;;
6;"2a";"MEI";"AL";"K28";2;6;;
6;"2a";"MEI";"AL";"K28";3;2;;
6;"2a";"MEI";"AL";"K28";5;3;;
7;"2b";"MEI";"AL";"K22";1;8;;
7;"2b";"MEI";"AL";"K22";4;2;;
7;"2b";"MEI";"AL";"K22";5;5;;
7;"2b";"MEI";"AL";"K22";5;6;;
8;"4a";"SHB";"AL";"K21";1;5;;
8;"4a";"SHB";"AL";"K21";2;8;;
9;"4b";"MEI";"AL";"K25";2;3;;
9;"4b";"MEI";"AL";"K25";3;5;;
10;"9by";"LIB";"D";"K15";1;3;;
10;"9by";"LIB";"D";"K12";2;1;;
10;"9by";"LIB";"D";"K12";2;2;;
10;"9by";"LIB";"D";"K12";3;1;;
10;"9by";"LIB";"D";"K12";4;7;;
11;"9bx";"HEK";"D";"K12";1;3;;
11;"9bx";"HEK";"D";"K12";4;1;;
11;"9bx";"HEK";"D";"K12";4;2;;
11;"9bx";"HEK";"D";"K12";5;3;;
11;"9bx";"HEK";"D";"K12";5;4;;
12;"8a";"LEM";"ME";"K13";1;8;;
13;"8ay";"LEM";"D";"K13";1;5;;
13;"8ay";"LEM";"D";"HW2";5;3;;
13;"8ay";"LEM";"D";"HW2";5;4;;
14;"8ax";"LEM";"D";"K13";2;2;;
14;"8ax";"LEM";"D";"K13";2;3;;
14;"8ax";"LEM";"D";"K12";4;4;;
16;"SUP";"OFM";"SU";;2;4;;
16;"SUP";"OFM";"SU";;3;6;;
17;"SUP";"HEK";"SU";;3;6;;
17;"SUP";"HEK";"SU";;5;5;;
19;"SUP";"SCR";"SU";;3;3;;
19;"SUP";"SCR";"SU";;5;6;;
20;"2bx";"OFM";"D";"K22";1;3;;
20;"2bx";"OFM";"D";"K22";1;4;;
20;"2bx";"OFM";"D";"K22";2;2;;
20;"2bx";"OFM";"D";"K22";2;3;;
20;"2bx";"OFM";"D";"K23";4;4;;
21;"2by";"HÖM";"D";"K27";1;3;;
21;"2by";"HÖM";"D";"K27";1;4;;
21;"2by";"HÖM";"D";"K23";2;6;;
21;"2by";"HÖM";"D";"K22";3;5;;
21;"2by";"HÖM";"D";"K22";3;6;;
22;"SUP";"HÖM";"SU";;1;5;;
22;"SUP";"HÖM";"SU";;2;4;;
25;"4a";"LIB";"E";"K21";1;2;;
25;"4a";"LIB";"E";"K21";4;4;;
26;"4b";"LIB";"E";"K25";2;8;;
26;"4b";"LIB";"E";"K25";4;3;;
27;"9ax";"LIB";"E";"K11";2;7;;
27;"9ax";"LIB";"E";"K11";5;3;;
27;"9ax";"LIB";"E";"K11";5;4;;
28;"9ay";"NED";"E";"K11";1;5;;
28;"9ay";"NED";"E";"K11";4;4;;
28;"9ay";"NED";"E";"K11";4;5;;
29;"3b";"LIB";"E";"K26";3;8;;
29;"3b";"LIB";"E";"K26";4;5;;
30;"9bx";"NED";"E";"K21";2;1;;
30;"9bx";"NED";"E";"K21";2;2;;
30;"9bx";"NED";"E";"K05";4;7;;
31;"4a";"PRL";"AM";"K21";1;6;;
31;"4a";"PRL";"AM";"K21";5;3;;
32;"4b";"PRL";"AM";"K25";2;6;;
32;"4b";"PRL";"AM";"K25";4;5;;
33;"3a";"KAE";"AM";"K27";3;8;;
33;"3a";"KAE";"AM";"K27";5;2;;
34;"3b";"MAM";"AM";"K26";2;10;;
34;"3b";"MAM";"AM";"K26";3;6;;
35;"3ax";"BUB";"MED2";"HW3";4;3;;
35;"3ax";"BUB";"MED2";"HW3";4;4;;
36;"3ay";"BUB";"MED2";"S-LAB";3;5;;
36;"3ay";"BUB";"MED2";"S-LAB";3;6;;
37;"3bx";"BUB";"MED2";"PR2";2;3;;
37;"3bx";"BUB";"MED2";"PR2";2;4;;
38;"3by";"BUB";"MED2";"PR2";2;5;;
38;"3by";"BUB";"MED2";"PR2";2;6;;
39;"SUP";"PRL";"SU";;4;4;;
39;"SUP";"PRL";"SU";;4;6;;
40;"2a";"PRL";"AM";"K28";1;4;;
40;"2a";"PRL";"AM";"K28";2;5;;
40;"2a";"PRL";"AM";"K28";3;1;;
41;"2b";"PRL";"AM";"K22";1;2;;
41;"2b";"PRL";"AM";"K22";3;3;;
41;"2b";"PRL";"AM";"K22";4;8;;
42;"9a";"FAJ";"Ph";"K11";3;9;;
43;"9b";"FAJ";"Ph";"NWL";4;9;;
44;"8a";"SAL";"AM";"K13";1;1;;
44;"8a";"SAL";"AM";"K13";2;1;;
44;"8a";"SAL";"AM";"K13";4;8;;
44;"8a";"SAL";"AM";"K13";5;5;;
45;"3a";"SAL";"AM";"K27";4;9;;
45;"3a";"SAL";"AM";"K27";5;6;;
46;"SUP";"SAL";"SU";;3;2;;
46;"SUP";"SAL";"SU";;5;2;;
47;"4a";"KAE";"AM";"K21";1;3;;
47;"4a";"KAE";"AM";"K21";2;9;;
48;"4b";"KAE";"AM";"K25";1;4;;
48;"4b";"KAE";"AM";"K25";5;1;;
49;"SUP";"TAF";"SU";;4;1;;
49;"SUP";"TAF";"SU";;5;4;;
50;"8a";"TAF";"H-AL";"K13";1;9;;
50;"8a";"TAF";"H-AL";"K13";3;3;;
51;"9a";"TAF";"H-AL";"K11";5;2;;
52;"9b";"TAF";"H-AL";"K12";5;6;;
53;"5a";"TAF";"H-AL";"K24";1;6;;
53;"5a";"TAF";"H-AL";"K24";4;10;;
55;"8a";"TAF";"GG-AL";"K13";1;2;;
55;"8a";"TAF";"GG-AL";"K13";2;4;;
56;"9a";"TAF";"GG-AL";"K11";1;1;;
